epoch,lr,epoch_seconds,train_loss,train_accuracy,train_top5_accuracy,valid_loss,valid_accuracy,valid_top5_accuracy,macro_f1
1,0.00013333333333333334,2941.498610019684,0.4340994427819732,0.9833713395497957,0.9923009189225802,0.3712667976361872,0.9989792446410344,0.9996597482136781,0.999062476561914
2,0.0002,2947.3531301021576,0.37450585843898193,0.9963762389650268,0.9996161748436477,0.37448207608653233,0.9972779857094249,0.9996597482136781,0.9974929845884721
3,0.0002,2935.8937180042267,0.37538591443096797,0.9963536610146531,0.9996726197195819,0.38130269533478917,0.9928547124872406,0.9989792446410344,0.9912449314388501
4,0.00019964695387716762,2935.8502509593964,0.3717580767779596,0.9972003341536655,0.9998080874218238,0.36725873458787023,0.9989792446410344,0.9993194964273563,0.9990624843746094
5,0.00019859035921407543,2963.7507531642914,0.37009157694346134,0.9976180262355784,0.9997629315210765,0.3845012000565141,0.9948962232051718,0.9993194964273563,0.9952725920175493
6,0.00019683782879948293,2950.8444769382477,0.3689843751628897,0.9978663836896886,0.9998193763970107,0.371377453425986,0.9982987410683906,0.9996597482136781,0.9984342174723263
7,0.00019440198965518625,2964.4272730350494,0.3690220780411754,0.997776071888194,0.9998193763970107,0.3682954800132993,0.9986389928547125,0.9993194964273563,0.9987467252850216
8,0.0001913003920580373,3008.3272771835327,0.367116017362446,0.9983518096227224,0.9998532433225712,0.3662632978380274,0.9993194964273563,0.9996597482136781,0.9993749843746094
9,0.00018755538308979646,2991.220874786377,0.366924546273267,0.9983743875730962,0.9998306653721976,0.36599587607278267,0.9993194964273563,0.9993194964273563,0.9993749843746094
10,0.00018319394562589652,3018.5764758586884,0.3667069825453277,0.9984308324490303,0.9998758212729448,0.3723186768107205,0.9979584892820688,0.9989792446410344,0.9981249218683588
11,0.0001782475039232071,3045.8973150253296,0.365029234982902,0.9988823914565036,0.9999209771736922,0.3700591100746777,0.9982987410683906,0.9993194964273563,0.9881762669066727
12,0.0001727516972075434,3059.9162170886993,0.3663247452617722,0.9986679009279538,0.9998080874218238,0.36510319556050985,0.9993194964273563,0.9993194964273563,0.9993749843746094
13,0.00016674612289222798,3007.620318889618,0.36488515662459564,0.9990178591587455,0.9998983992233185,0.37097471880442273,0.9979584892820688,0.9989792446410344,0.9828076549332628
14,0.00016027405127782012,2964.72913479805,0.3657153421251609,0.9988259465805694,0.9998871102481317,0.36657676045973314,0.9986389928547125,0.9993194964273563,0.9987529777856702
15,0.00015338211378860872,2955.872138977051,0.36455816555883397,0.9990291481339324,0.999932266148879,0.3649445409858336,0.9993194964273563,0.9993194964273563,0.9993749843746094
16,0.00014611996699213199,2939.8832840919495,0.3641635984675575,0.9991646158361744,0.9998983992233185,0.36739074372644936,0.9986389928547125,0.9993194964273563,0.9987467252850216
17,0.00013853993482247024,2932.4826209545135,0.3637576703051914,0.9992210607121086,0.9999209771736922,0.36478697555979406,0.9993194964273563,0.9993194964273563,0.9993749843746094
18,0.00013069663158510195,2935.0660643577576,0.36385118119432586,0.999051726084306,0.9999096881985053,0.3670952364716168,0.9989792446410344,0.9993194964273563,0.9990608903480163
