path,true_idx,pred_idx,true_label,pred_label,confidence
/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_3/valid/ج/J (91).jpg,16,5,ج,5,0.9588293433189392
/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_3/valid/ص/Sad (60).jpg,20,0,ص,0,0.9629485607147217
